scenario,region,sector,subRegion,class,units,x,value,subRegType,classPalette
SSP2_CI_AgWat,China,MiscCrop,BoHai,MiscCrop,Agricultural Production (Mt),2030,40.82637,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,BoHai,MiscCrop,Agricultural Production (Mt),2035,42.8595,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,BoHai,MiscCrop,Agricultural Production (Mt),2040,44.17792,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,BoHai,MiscCrop,Agricultural Production (Mt),2045,45.26939,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,BoHai,MiscCrop,Agricultural Production (Mt),2050,47.28532,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,ChinaCst,MiscCrop,Agricultural Production (Mt),2010,126.59476,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,ChinaCst,MiscCrop,Agricultural Production (Mt),2015,119.77892,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,ChinaCst,MiscCrop,Agricultural Production (Mt),2020,118.24051,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,ChinaCst,MiscCrop,Agricultural Production (Mt),2025,115.8025,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,ChinaCst,MiscCrop,Agricultural Production (Mt),2030,116.9966,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,ChinaCst,MiscCrop,Agricultural Production (Mt),2035,110.65,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,ChinaCst,MiscCrop,Agricultural Production (Mt),2040,103.9805,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,ChinaCst,MiscCrop,Agricultural Production (Mt),2045,104.4896,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,ChinaCst,MiscCrop,Agricultural Production (Mt),2050,104.2227,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,GangesR,MiscCrop,Agricultural Production (Mt),2010,0.3040116,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,GangesR,MiscCrop,Agricultural Production (Mt),2015,0.3438565,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,GangesR,MiscCrop,Agricultural Production (Mt),2020,0.3940899,subBasin,pal_green
